Time,Timestamp,28ffe2a76415148,28ffcabf64151aa,28ffb5b664152d9,28ffc3bf6415159
"4/30/2016, 10:29:16 PM",1462069756031,25.3125,26.3125,25.2500,25.5000
"4/30/2016, 10:29:17 PM",1462069757120,25.3125,26.2500,25.2500,25.5000
"4/30/2016, 10:29:18 PM",1462069758207,25.3125,26.2500,25.2500,25.5000
"4/30/2016, 10:29:19 PM",1462069759291,25.3125,26.2500,25.2500,25.4375
"4/30/2016, 10:29:20 PM",1462069760378,25.3125,26.2500,25.2500,25.4375
"4/30/2016, 10:29:21 PM",1462069761465,25.2500,26.2500,25.1875,25.4375
"4/30/2016, 10:29:22 PM",1462069762552,25.2500,26.1875,25.1875,25.4375
"4/30/2016, 10:29:23 PM",1462069763638,25.2500,26.1875,25.1875,25.4375
"4/30/2016, 10:29:24 PM",1462069764724,25.2500,26.1875,25.1875,25.4375
"4/30/2016, 10:29:25 PM",1462069765813,25.2500,26.1875,25.1875,25.4375
"4/30/2016, 10:29:25 PM",1462069765813,25.2500,26.1875,25.1875,25.3750
"4/30/2016, 10:29:26 PM",1462069766898,25.2500,26.1875,25.1875,25.3750
"4/30/2016, 10:29:27 PM",1462069767983,25.2500,26.1875,25.1875,25.3750
"4/30/2016, 10:29:29 PM",1462069769073,25.2500,26.1250,25.1875,25.3750
"4/30/2016, 10:29:30 PM",1462069770159,25.2500,26.1250,25.1250,25.3750
"4/30/2016, 10:29:31 PM",1462069771243,25.2500,26.1250,25.1250,25.3750
"4/30/2016, 10:29:32 PM",1462069772331,25.2500,26.1250,25.1250,25.3750
"4/30/2016, 10:29:33 PM",1462069773417,25.2500,26.1250,25.1250,25.3125
"4/30/2016, 10:29:34 PM",1462069774506,25.2500,26.625,25.1250,25.3125
"4/30/2016, 10:29:35 PM",1462069775591,25.2500,26.625,25.1250,25.3125
"4/30/2016, 10:29:36 PM",1462069776680,25.2500,26.625,25.1250,25.3125
"4/30/2016, 10:29:37 PM",1462069777769,25.1875,26.625,25.1250,25.3125
"4/30/2016, 10:29:38 PM",1462069778856,25.1875,26.625,25.1250,25.3125
"4/30/2016, 10:29:39 PM",1462069779945,25.1875,26.625,25.1250,25.3125
"4/30/2016, 10:29:39 PM",1462069779945,25.1875,26.625,25.1250,25.3125
"4/30/2016, 10:29:41 PM",1462069781032,25.1875,26.0,25.1250,25.2500
"4/30/2016, 10:29:42 PM",1462069782120,25.1875,26.0,25.625,25.2500
